type	time	latitude	longitude	altitude (m)	distance (km)	name	desc
T	2016-08-25 12:32:30.732	43.216280780	-4.900543260	476.0	0.000		
T	2016-08-25 12:32:45.732	43.216359475	-4.900615707	493.0	0.011		
T	2016-08-25 12:32:53.732	43.216452723	-4.900618923	498.0	0.021		
T	2016-08-25 12:33:07.732	43.216546212	-4.900583049	498.0	0.032		
T	2016-08-25 12:33:14.732	43.216640036	-4.900541676	499.0	0.043		
T	2016-08-25 12:33:21.732	43.216731999	-4.900515400	502.0	0.053		
T	2016-08-25 12:33:30.732	43.216830497	-4.900505946	509.0	0.064		
T	2016-08-25 12:33:40.732	43.216927191	-4.900514102	504.0	0.075		
T	2016-08-25 12:33:52.732	43.217021728	-4.900507464	501.0	0.085		
T	2016-08-25 12:34:03.732	43.217111259	-4.900468979	504.0	0.096		
T	2016-08-25 12:34:12.732	43.217194296	-4.900409401	504.0	0.106		
T	2016-08-25 12:34:20.732	43.217277495	-4.900358214	502.0	0.116		
T	2016-08-25 12:34:28.732	43.217372015	-4.900394638	506.0	0.127		
T	2016-08-25 12:34:44.732	43.217462990	-4.900407087	508.0	0.137		
T	2016-08-25 12:35:02.732	43.217551590	-4.900444203	506.0	0.148		
T	2016-08-25 12:35:23.732	43.217637762	-4.900403971	505.0	0.158		
T	2016-08-25 12:35:34.732	43.217708692	-4.900484714	505.0	0.168		
T	2016-08-25 12:35:43.732	43.217723836	-4.900613658	507.0	0.179		
T	2016-08-25 12:36:39.732	43.218114803	-4.900592068	506.0	0.222		
T	2016-08-25 12:36:51.732	43.218109290	-4.900438407	509.0	0.235		
T	2016-08-25 12:40:43.732	43.219194422	-4.899161543	456.0	0.394		
T	2016-08-25 12:40:48.732	43.219253523	-4.899034527	471.0	0.406		
T	2016-08-25 12:40:53.732	43.219281852	-4.898912491	481.0	0.416		
T	2016-08-25 12:41:04.732	43.219309974	-4.898795090	485.0	0.426		
T	2016-08-25 12:41:13.732	43.219387205	-4.898711843	490.0	0.437		
T	2016-08-25 12:41:26.732	43.219432370	-4.898600477	499.0	0.448		
T	2016-08-25 12:41:40.732	43.219439414	-4.898476842	502.0	0.458		
T	2016-08-25 12:41:46.732	43.219367647	-4.898401712	506.0	0.468		
T	2016-08-25 12:41:56.732	43.219276363	-4.898397152	510.0	0.478		
T	2016-08-25 12:42:04.732	43.219272547	-4.898270880	510.0	0.488		
T	2016-08-25 12:42:12.732	43.219219654	-4.898154054	514.0	0.499		
T	2016-08-25 12:42:20.732	43.219174244	-4.898046179	518.0	0.509		
T	2016-08-25 12:42:28.732	43.219100001	-4.897947782	524.0	0.521		
T	2016-08-25 12:42:45.732	43.219065556	-4.897828167	527.0	0.531		
T	2016-08-25 12:42:52.732	43.219085696	-4.897698243	526.0	0.542		
T	2016-08-25 12:43:06.732	43.219051375	-4.897574323	522.0	0.553		
T	2016-08-25 12:43:12.732	43.219137085	-4.897506028	527.0	0.564		
T	2016-08-25 12:43:15.732	43.219238670	-4.897499654	531.0	0.575		
T	2016-08-25 12:43:18.732	43.219348066	-4.897490760	533.0	0.587		
T	2016-08-25 12:43:21.732	43.219447367	-4.897490983	534.0	0.598		
T	2016-08-25 12:43:32.732	43.219519681	-4.897410034	542.0	0.609		
T	2016-08-25 12:43:38.732	43.219554151	-4.897287759	543.0	0.619		
T	2016-08-25 12:43:43.732	43.219613310	-4.897193823	543.0	0.630		
T	2016-08-25 12:43:51.732	43.219692249	-4.897122262	542.0	0.640		
T	2016-08-25 12:43:59.732	43.219776573	-4.897062558	540.0	0.651		
T	2016-08-25 12:44:07.732	43.219869085	-4.897021295	541.0	0.661		
T	2016-08-25 12:44:15.732	43.219955968	-4.896959127	538.0	0.672		
T	2016-08-25 12:44:23.732	43.220043787	-4.896901384	536.0	0.683		
T	2016-08-25 12:44:37.732	43.220129493	-4.896854522	534.0	0.693		
T	2016-08-25 12:44:44.732	43.220204076	-4.896758333	537.0	0.705		
T	2016-08-25 12:44:50.732	43.220272513	-4.896671908	539.0	0.715		
T	2016-08-25 12:44:58.732	43.220345994	-4.896589513	534.0	0.726		
T	2016-08-25 12:45:13.732	43.220438748	-4.896546150	539.0	0.737		
T	2016-08-25 12:45:26.732	43.220501147	-4.896448521	538.0	0.747		
T	2016-08-25 12:46:00.732	43.220603645	-4.896460001	541.0	0.759		
T	2016-08-25 12:46:04.732	43.220702482	-4.896463312	537.0	0.770		
T	2016-08-25 12:46:09.732	43.220804444	-4.896448209	535.0	0.781		
T	2016-08-25 12:46:15.732	43.220897841	-4.896454883	534.0	0.791		
T	2016-08-25 12:46:23.732	43.220983255	-4.896508341	536.0	0.802		
T	2016-08-25 12:46:31.732	43.221053727	-4.896612135	542.0	0.813		
T	2016-08-25 12:46:37.732	43.221085317	-4.896753180	543.0	0.825		
T	2016-08-25 12:46:44.732	43.221147616	-4.896849367	546.0	0.836		
T	2016-08-25 12:46:52.732	43.221237821	-4.896872541	547.0	0.846		
T	2016-08-25 12:46:58.732	43.221291128	-4.896738473	550.0	0.858		
T	2016-08-25 12:47:01.732	43.221320326	-4.896609622	548.0	0.869		
T	2016-08-25 12:47:04.732	43.221350199	-4.896453784	538.0	0.882		
T	2016-08-25 12:47:06.732	43.221370777	-4.896332175	536.0	0.892		
T	2016-08-25 12:47:08.732	43.221391787	-4.896211134	536.0	0.903		
T	2016-08-25 12:47:11.732	43.221417581	-4.896042574	537.0	0.917		
T	2016-08-25 12:47:14.732	43.221441474	-4.895868008	538.0	0.931		
T	2016-08-25 12:47:17.732	43.221470502	-4.895721742	537.0	0.943		
T	2016-08-25 12:47:25.732	43.221559488	-4.895677358	535.0	0.954		
T	2016-08-25 12:47:32.732	43.221640437	-4.895565117	534.0	0.967		
T	2016-08-25 12:47:40.732	43.221706620	-4.895424236	541.0	0.980		
T	2016-08-25 12:47:49.732	43.221624462	-4.895590472	539.0	0.997		
T	2016-08-25 12:47:53.732	43.221574729	-4.895731310	541.0	1.009		
T	2016-08-25 12:48:01.732	43.221691414	-4.895748446	541.0	1.022		
T	2016-08-25 12:48:05.732	43.221758887	-4.895834858	538.0	1.033		
T	2016-08-25 12:48:10.732	43.221823985	-4.895938464	533.0	1.044		
T	2016-08-25 12:48:16.732	43.221866601	-4.896054825	529.0	1.054		
T	2016-08-25 12:48:22.732	43.221930557	-4.896171700	521.0	1.066		
T	2016-08-25 12:48:30.732	43.221992534	-4.896273287	518.0	1.077		
T	2016-08-25 12:48:40.732	43.222071337	-4.896332942	507.0	1.087		
T	2016-08-25 12:48:48.732	43.222144057	-4.896411126	507.0	1.097		
T	2016-08-25 12:48:58.732	43.222231976	-4.896468034	508.0	1.108		
T	2016-08-25 12:49:11.732	43.222331162	-4.896472739	511.0	1.119		
T	2016-08-25 12:49:19.732	43.222423382	-4.896495585	505.0	1.129		
T	2016-08-25 12:49:28.732	43.222509000	-4.896452675	506.0	1.140		
T	2016-08-25 12:49:39.732	43.222583356	-4.896375123	501.0	1.150		
T	2016-08-25 12:49:49.732	43.222667895	-4.896430768	498.0	1.160		
T	2016-08-25 12:49:58.732	43.222759609	-4.896480439	497.0	1.171		
T	2016-08-25 12:50:06.732	43.222855025	-4.896472423	498.0	1.182		
T	2016-08-25 12:50:17.732	43.222949650	-4.896467903	495.0	1.192		
T	2016-08-25 12:50:27.732	43.223044027	-4.896425306	497.0	1.203		
T	2016-08-25 12:51:12.732	43.224175022	-4.896022863	509.0	1.333		
T	2016-08-25 12:51:16.732	43.224254309	-4.895918103	509.0	1.346		
T	2016-08-25 12:51:22.732	43.224228702	-4.895776268	509.0	1.357		
T	2016-08-25 12:53:44.732	43.224069547	-4.895879988	525.0	1.377		
T	2016-08-25 12:53:45.732	43.224002950	-4.895968165	525.0	1.387		
T	2016-08-25 12:53:47.732	43.223912796	-4.896097522	530.0	1.402		
T	2016-08-25 12:53:49.732	43.223851764	-4.896205334	531.0	1.413		
T	2016-08-25 12:53:53.732	43.223803916	-4.896339646	535.0	1.425		
T	2016-08-25 12:53:59.732	43.223791282	-4.896465729	538.0	1.435		
T	2016-08-25 12:54:05.732	43.223774634	-4.896597481	540.0	1.446		
T	2016-08-25 12:54:11.732	43.223775478	-4.896728176	545.0	1.457		
T	2016-08-25 12:54:21.732	43.223830404	-4.896830421	550.0	1.467		
T	2016-08-25 12:54:36.732	43.223929235	-4.896817602	518.0	1.478		
T	2016-08-25 12:54:45.732	43.224023913	-4.896768782	513.0	1.489		
T	2016-08-25 12:54:59.732	43.224114700	-4.896803456	507.0	1.500		
T	2016-08-25 12:55:11.732	43.224209835	-4.896846330	499.0	1.511		
T	2016-08-25 12:55:28.732	43.224314600	-4.896691539	499.0	1.528		
T	2016-08-25 12:55:32.732	43.224327859	-4.896400390	498.0	1.552		
T	2016-08-25 12:55:35.732	43.224346823	-4.896145533	498.0	1.573		
T	2016-08-25 12:55:37.732	43.224323362	-4.896010309	497.0	1.584		
T	2016-08-25 12:55:40.732	43.224248816	-4.895847239	496.0	1.600		
T	2016-08-25 12:55:53.732	43.224288836	-4.896025023	487.0	1.615		
T	2016-08-25 12:55:57.732	43.224337195	-4.896145427	485.0	1.626		
T	2016-08-25 12:56:08.732	43.224255971	-4.896049237	481.0	1.638		
T	2016-08-25 12:56:20.732	43.224356442	-4.895983785	472.0	1.650		
