type	time	latitude	longitude	altitude (m)	distance (km)	name	desc
T	2015-07-14 15:36:30.164	38.800404500	15.240213825	7.7	0.805		
T	2015-07-14 15:36:39.153	38.800284495	15.240382362	6.7	1.020		
T	2015-07-14 15:36:45.153	38.800261076	15.240467189	6.3	1.028		
T	2015-07-14 15:49:27.174	38.809722485	15.226227843	37.8	1.657		
T	2015-07-14 15:49:37.269	38.809630354	15.226181770	40.8	1.668		
T	2015-07-14 15:49:40.269	38.809600374	15.226203441	41.2	1.672		
T	2015-07-14 15:49:43.269	38.809580384	15.226232407	41.3	1.675		
T	2015-07-14 15:49:47.269	38.809560577	15.226270358	41.3	1.679		
T	2015-07-14 15:49:50.291	38.809463985	15.226372294	42.3	1.693		
T	2015-07-14 15:49:53.291	38.809438349	15.226390916	42.7	1.697		
T	2015-07-14 15:49:56.291	38.809414013	15.226406491	43.1	1.700		
T	2015-07-14 15:49:59.27	38.809386246	15.226273760	45.6	1.712		
T	2015-07-14 15:50:02.27	38.809409759	15.226238485	45.5	1.716		
T	2015-07-14 15:50:05.27	38.809431780	15.226200302	45.5	1.720		
T	2015-07-14 15:50:08.27	38.809446310	15.226160823	45.7	1.724		
T	2015-07-14 15:50:11.27	38.809458859	15.226126730	45.9	1.727		
T	2015-07-14 15:50:15.27	38.809486101	15.226095145	45.6	1.731		
T	2015-07-14 15:50:18.27	38.809508649	15.226069946	45.4	1.734		
T	2015-07-14 15:50:21.27	38.809539957	15.226046491	45.0	1.738		
T	2015-07-14 15:50:24.27	38.809574567	15.226021284	44.5	1.743		
T	2015-07-14 15:50:27.27	38.809603336	15.225989874	44.3	1.747		
T	2015-07-14 15:50:30.27	38.809631393	15.225961521	44.0	1.751		
T	2015-07-14 15:50:33.27	38.809661479	15.225940590	43.6	1.755		
T	2015-07-14 15:50:37.27	38.809693110	15.225912531	43.2	1.759		
T	2015-07-14 15:50:41.27	38.809708218	15.225865569	43.5	1.764		
T	2015-07-14 15:50:45.27	38.809697516	15.225814885	44.6	1.768		
T	2015-07-14 15:50:48.27	38.809689415	15.225774821	45.6	1.772		
T	2015-07-14 15:50:51.27	38.809701162	15.225716781	46.4	1.777		
T	2015-07-14 15:50:53.27	38.809709180	15.225669747	47.1	1.781		
T	2015-07-14 15:50:55.27	38.809718612	15.225628683	47.7	1.785		
T	2015-07-14 15:50:57.27	38.809730226	15.225592668	48.1	1.788		
T	2015-07-14 15:51:00.27	38.809743344	15.225547770	48.6	1.792		
T	2015-07-14 15:51:03.27	38.809751116	15.225513274	49.1	1.796		
T	2015-07-14 15:51:07.27	38.809762417	15.225479692	49.4	1.799		
T	2015-07-14 15:51:10.237	38.809751179	15.225445572	50.4	1.802		
T	2015-07-14 15:51:17.237	38.809723087	15.225450765	51.0	1.805		
T	2015-07-14 15:51:20.237	38.809703480	15.225479597	50.9	1.809		
T	2015-07-14 15:51:23.237	38.809669392	15.225507908	51.3	1.813		
T	2015-07-14 15:51:25.237	38.809645185	15.225526040	51.5	1.816		
T	2015-07-14 15:51:28.237	38.809608702	15.225545208	52.1	1.821		
T	2015-07-14 15:51:31.237	38.809573212	15.225557551	52.7	1.825		
T	2015-07-14 15:51:35.237	38.809552061	15.225583512	52.7	1.828		
T	2015-07-14 15:51:38.237	38.809560720	15.225620594	51.8	1.831		
T	2015-07-14 15:51:41.237	38.809549872	15.225658631	51.3	1.835		
T	2015-07-14 15:51:45.237	38.809547187	15.225701972	50.5	1.839		
T	2015-07-14 15:51:49.296	38.809514991	15.225757074	50.2	1.845		
T	2015-07-14 15:51:51.296	38.809486911	15.225775863	50.5	1.848		
T	2015-07-14 15:51:53.296	38.809459494	15.225785747	50.9	1.851		
T	2015-07-14 15:51:55.296	38.809430838	15.225782299	51.7	1.855		
T	2015-07-14 15:51:57.296	38.809394551	15.225760295	53.0	1.859		
T	2015-07-14 15:51:59.296	38.809359071	15.225729858	54.5	1.864		
T	2015-07-14 15:52:01.296	38.809334765	15.225698094	55.8	1.868		
T	2015-07-14 15:52:04.296	38.809313220	15.225649452	57.3	1.873		
T	2015-07-14 15:52:07.296	38.809310410	15.225591493	58.6	1.878		
T	2015-07-14 15:52:09.296	38.809334187	15.225552041	58.9	1.882		
T	2015-07-14 15:52:11.296	38.809374245	15.225524198	58.4	1.887		
T	2015-07-14 15:52:13.296	38.809410881	15.225499585	58.0	1.892		
T	2015-07-14 15:52:15.296	38.809441209	15.225479902	57.6	1.895		
T	2015-07-14 15:52:18.296	38.809465808	15.225452892	57.5	1.899		
T	2015-07-14 15:52:22.296	38.809476894	15.225414991	58.0	1.903		
T	2015-07-14 15:52:25.344	38.809499292	15.225338555	59.0	1.910		
T	2015-07-14 15:52:29.342	38.809634726	15.225136884	59.4	1.933		
T	2015-07-14 15:52:32.342	38.809648332	15.225103607	59.7	1.936		
T	2015-07-14 15:52:35.342	38.809658700	15.225068204	60.1	1.939		
T	2015-07-14 15:52:38.342	38.809668727	15.225025208	60.6	1.943		
T	2015-07-14 15:52:41.342	38.809674054	15.224980375	61.5	1.947		
T	2015-07-14 15:52:44.342	38.809680673	15.224935054	62.3	1.951		
T	2015-07-14 15:52:47.342	38.809684758	15.224889265	63.3	1.955		
T	2015-07-14 15:52:50.342	38.809697749	15.224848166	63.9	1.959		
T	2015-07-14 15:52:53.342	38.809723327	15.224812597	64.1	1.963		
T	2015-07-14 15:52:56.342	38.809739846	15.224778038	64.4	1.967		
T	2015-07-14 15:53:00.492	38.809803712	15.224749164	63.4	1.975		
T	2015-07-14 15:53:05.492	38.809827781	15.224714246	63.5	1.979		
T	2015-07-14 15:53:08.492	38.809856901	15.224705364	63.0	1.982		
T	2015-07-14 15:53:11.492	38.809892980	15.224699600	62.1	1.986		
T	2015-07-14 15:53:14.492	38.809930447	15.224690960	61.3	1.990		
T	2015-07-14 15:53:17.492	38.809965535	15.224683052	60.5	1.994		
T	2015-07-14 15:53:20.492	38.809995285	15.224671148	60.0	1.998		
T	2015-07-14 15:53:31.501	38.810110363	15.224613738	58.0	2.012		
T	2015-07-14 15:53:33.501	38.810139462	15.224600918	57.4	2.015		
T	2015-07-14 15:53:35.501	38.810164071	15.224582702	57.1	2.018		
T	2015-07-14 15:53:38.501	38.810182552	15.224550756	57.3	2.022		
T	2015-07-14 15:53:41.501	38.810162486	15.224508140	58.9	2.026		
T	2015-07-14 15:53:43.501	38.810133448	15.224477937	60.5	2.030		
T	2015-07-14 15:53:45.501	38.810104104	15.224452929	61.9	2.034		
T	2015-07-14 15:53:49.501	38.810073861	15.224438266	63.2	2.038		
T	2015-07-14 15:53:52.501	38.810046185	15.224450443	63.8	2.041		
T	2015-07-14 15:53:55.568	38.810005110	15.224475909	64.4	2.046		
T	2015-07-14 15:53:58.568	38.809968939	15.224491749	65.0	2.050		
T	2015-07-14 15:54:01.568	38.809935951	15.224504079	65.6	2.054		
T	2015-07-14 15:54:03.568	38.809909531	15.224513278	66.1	2.057		
T	2015-07-14 15:54:06.568	38.809875523	15.224522482	66.8	2.061		
T	2015-07-14 15:54:09.568	38.809847211	15.224520304	67.6	2.064		
T	2015-07-14 15:54:13.589	38.809863012	15.224423188	69.5	2.073		
T	2015-07-14 15:54:16.589	38.809888368	15.224387833	69.7	2.077		
T	2015-07-14 15:54:18.589	38.809914349	15.224365215	69.5	2.081		
T	2015-07-14 15:54:20.589	38.809943606	15.224342017	69.3	2.084		
T	2015-07-14 15:54:22.589	38.809968572	15.224319786	69.2	2.088		
T	2015-07-14 15:54:25.589	38.810001469	15.224294561	68.9	2.092		
T	2015-07-14 15:54:28.589	38.810035846	15.224279984	68.1	2.096		
T	2015-07-14 15:54:31.589	38.810063874	15.224271953	67.4	2.099		
T	2015-07-14 15:54:34.589	38.810090194	15.224255454	67.0	2.103		
T	2015-07-14 15:54:37.589	38.810114331	15.224222401	67.0	2.107		
T	2015-07-14 15:54:39.589	38.810130406	15.224191856	67.2	2.110		
T	2015-07-14 15:54:41.589	38.810145447	15.224151184	67.7	2.114		
T	2015-07-14 15:54:43.589	38.810161401	15.224113044	68.1	2.117		
T	2015-07-14 15:54:45.589	38.810181560	15.224076989	68.4	2.121		
T	2015-07-14 15:54:47.589	38.810196452	15.224045883	68.7	2.124		
T	2015-07-14 15:54:51.589	38.810205471	15.224007972	69.3	2.128		
T	2015-07-14 15:54:54.56	38.810318941	15.223834342	69.7	2.148		
T	2015-07-14 15:54:57.56	38.810332170	15.223801832	70.0	2.151		
T	2015-07-14 15:55:00.56	38.810336998	15.223763764	70.7	2.154		
T	2015-07-14 15:55:03.56	38.810326587	15.223725882	72.0	2.158		
T	2015-07-14 15:55:06.56	38.810301195	15.223710176	73.3	2.161		
T	2015-07-14 15:55:09.56	38.810265425	15.223707640	74.6	2.165		
T	2015-07-14 15:55:11.56	38.810234118	15.223707744	75.8	2.168		
T	2015-07-14 15:55:13.56	38.810197672	15.223709234	77.0	2.172		
T	2015-07-14 15:55:15.56	38.810160976	15.223710534	78.3	2.177		
T	2015-07-14 15:55:17.56	38.810127769	15.223715122	79.4	2.180		
T	2015-07-14 15:55:19.56	38.810095389	15.223722168	80.3	2.184		
T	2015-07-14 15:55:21.56	38.810068746	15.223734445	81.0	2.187		
T	2015-07-14 15:55:24.56	38.810039385	15.223751192	81.6	2.191		
T	2015-07-14 15:55:27.56	38.810013051	15.223766315	82.1	2.194		
