type	time	latitude	longitude	altitude (m)	distance (km)	eos	name	desc
T	2015-02-11 13:57:20.181	6.798756074	80.805933674	2113.6	0.007			
T	2015-02-11 13:57:23.181	6.798724688	80.805923958	2113.6	0.018			
T	2015-02-11 13:57:26.181	6.798695316	80.805916143	2113.5	0.022			
T	2015-02-11 13:57:30.181	6.798660042	80.805906833	2113.5	0.026			
T	2015-02-11 13:57:33.181	6.798630560	80.805887621	2113.3	0.030			
T	2015-02-11 13:57:35.181	6.798608523	80.805870387	2113.1	0.033			
T	2015-02-11 13:57:38.181	6.798576998	80.805848419	2112.9	0.037			
T	2015-02-11 13:57:41.181	6.798547405	80.805836582	2112.8	0.041			
T	2015-02-11 13:57:45.181	6.798520303	80.805829644	2112.8	0.044			
T	2015-02-11 13:57:49.181	6.798494699	80.805817157	2112.8	0.047			
T	2015-02-11 13:57:52.181	6.798462949	80.805799190	2112.8	0.051			
T	2015-02-11 13:57:54.181	6.798438012	80.805786533	2112.8	0.054			
T	2015-02-11 13:57:56.181	6.798412169	80.805775204	2112.8	0.057			
T	2015-02-11 13:57:59.181	6.798376729	80.805756589	2112.9	0.062			
T	2015-02-11 13:58:02.181	6.798344462	80.805732178	2112.9	0.066			
T	2015-02-11 13:58:04.181	6.798325916	80.805711237	2112.9	0.069			
T	2015-02-11 13:58:09.181	6.798290146	80.805665671	2113.4	0.076			
T	2015-02-11 13:58:14.181	6.798234156	80.805656421	2114.1	0.082			
T	2015-02-11 13:58:16.181	6.798206578	80.805650301	2114.5	0.085			
T	2015-02-11 13:58:19.181	6.798168841	80.805644401	2115.0	0.090			
T	2015-02-11 13:58:22.181	6.798132413	80.805642390	2115.5	0.094			
T	2015-02-11 13:58:25.181	6.798094830	80.805641217	2116.0	0.098			
T	2015-02-11 13:58:28.181	6.798058711	80.805634621	2116.4	0.102			
T	2015-02-11 13:58:31.181	6.798027911	80.805622586	2116.9	0.106			
T	2015-02-11 13:58:34.181	6.797999881	80.805599941	2117.3	0.110			
T	2015-02-11 13:58:36.181	6.797980339	80.805580850	2117.6	0.113			
T	2015-02-11 13:58:38.181	6.797960101	80.805562273	2117.9	0.116			
T	2015-02-11 13:58:40.181	6.797938965	80.805544959	2118.2	0.119			
T	2015-02-11 13:58:42.181	6.797917283	80.805528425	2118.5	0.122			
T	2015-02-11 13:58:45.181	6.797886967	80.805509917	2119.0	0.126			
T	2015-02-11 13:58:48.181	6.797861399	80.805494513	2119.4	0.129			
T	2015-02-11 13:59:13.181	6.797830363	80.805488989	2119.9	0.133			
T	2015-02-11 13:59:15.181	6.797803114	80.805485755	2120.3	0.136			
T	2015-02-11 13:59:17.181	6.797775169	80.805481476	2120.7	0.139			
T	2015-02-11 13:59:21.181	6.797746021	80.805472345	2121.1	0.142			
T	2015-02-11 13:59:46.181	6.797712014	80.805463829	2121.7	0.146			
T	2015-02-11 13:59:49.181	6.797677290	80.805461958	2122.2	0.150			
T	2015-02-11 13:59:52.181	6.797644758	80.805462875	2122.7	0.154			
T	2015-02-11 13:59:55.181	6.797616099	80.805468283	2123.1	0.157			
T	2015-02-11 13:59:58.181	6.797583118	80.805478613	2123.5	0.161			
T	2015-02-11 14:00:01.181	6.797545420	80.805487662	2124.0	0.165			
T	2015-02-11 14:00:04.181	6.797506143	80.805492821	2124.6	0.170			
T	2015-02-11 14:00:07.181	6.797468483	80.805488801	2124.7	0.174			
T	2015-02-11 14:00:10.181	6.797433839	80.805480545	2124.9	0.178			
T	2015-02-11 14:00:13.181	6.797403737	80.805475929	2125.0	0.181			
T	2015-02-11 14:00:17.181	6.797373189	80.805471934	2125.1	0.185			
T	2015-02-11 14:00:22.181	6.797339267	80.805472400	2125.1	0.188			
T	2015-02-11 14:00:26.181	6.797303065	80.805463715	2125.2	0.193			
T	2015-02-11 14:00:29.181	6.797271511	80.805448099	2125.3	0.197			
T	2015-02-11 14:00:32.181	6.797242791	80.805432035	2125.4	0.200			
T	2015-02-11 14:00:36.181	6.797212114	80.805417973	2125.5	0.204			
T	2015-02-11 14:00:40.181	6.797178622	80.805413362	2125.6	0.208			
T	2015-02-11 14:00:44.181	6.797148473	80.805405471	2125.6	0.211			
T	2015-02-11 14:00:48.181	6.797119424	80.805400331	2125.7	0.215			
T	2015-02-11 14:00:52.181	6.797085065	80.805397195	2125.7	0.218			
T	2015-02-11 14:00:55.181	6.797057636	80.805392934	2125.8	0.221			
T	2015-02-11 14:00:59.181	6.797022994	80.805385365	2125.8	0.225			
T	2015-02-11 14:01:03.181	6.796992886	80.805377786	2125.8	0.229			
T	2015-02-11 14:01:07.181	6.796962874	80.805368394	2125.9	0.232			
T	2015-02-11 14:01:11.181	6.796930152	80.805356070	2125.9	0.236			
T	2015-02-11 14:01:15.181	6.796901430	80.805345594	2125.9	0.240			
T	2015-02-11 14:01:20.181	6.796869755	80.805332741	2125.8	0.244			
T	2015-02-11 14:01:24.181	6.796839866	80.805319902	2125.8	0.247			
T	2015-02-11 14:01:27.181	6.796814674	80.805309209	2125.8	0.250			
T	2015-02-11 14:01:30.181	6.796787011	80.805297920	2125.8	0.254			
T	2015-02-11 14:01:33.181	6.796755574	80.805281783	2125.7	0.258			
T	2015-02-11 14:01:36.181	6.796724834	80.805265420	2125.6	0.261			
T	2015-02-11 14:01:39.181	6.796695700	80.805254621	2125.5	0.265			
T	2015-02-11 14:01:43.181	6.796664042	80.805251072	2125.5	0.268			
T	2015-02-11 14:01:47.181	6.796635035	80.805248032	2125.2	0.272			
T	2015-02-11 14:01:50.181	6.796608242	80.805239490	2124.9	0.275			
T	2015-02-11 14:01:53.181	6.796577603	80.805230209	2124.5	0.278			
T	2015-02-11 14:01:56.181	6.796545578	80.805223757	2124.1	0.282			
T	2015-02-11 14:01:59.181	6.796513231	80.805215924	2123.7	0.286			
T	2015-02-11 14:02:02.181	6.796484308	80.805206409	2123.4	0.289			
T	2015-02-11 14:02:05.181	6.796457047	80.805195373	2123.0	0.292			
